Team,Opponent,Date,Win,OffAdjusted,DefAdjusted,OffAdjusted2,DefAdjusted2
Virginia,Duke,2019,,123.6,88.1,120.1,88.2
Brown,Yale,2018,0,98.7,96.9,111.7,103.2
Yale,Brown,2018,1,111.7,103.2,98.7,96.9
Houston Baptist,McNeese State,2018,0,102.9,112.6,98.1,114.6
McNeese State,Houston Baptist,2018,1,98.1,114.6,102.9,112.6
Fordham,George Washington,2018,0,96.5,104.4,95.2,106
George Washington,Fordham,2018,1,95.2,106,96.5,104.4
Cal Baptist,Utah Valley,2018,0,106.7,109.3,108.9,102.1
Utah Valley,Cal Baptist,2018,1,108.9,102.1,106.7,109.3
Oklahoma,West Virginia,2018,0,109.5,94,109.1,101.9
West Virginia,Oklahoma,2018,1,109.1,101.9,109.5,94
Tulsa,Wichita State,2018,0,104.7,100.5,106,98.5
Wichita State,Tulsa,2018,1,106,98.5,104.7,100.5
Texas Tech,Kansas,2018,0,112.8,86,112.8,92.1
Kansas,Texas Tech,2018,1,112.8,92.1,112.8,86
George Mason,VCU,2018,0,104.4,103.8,104.3,88.7
VCU,George Mason,2018,1,104.3,88.7,104.4,103.8
Michigan State,Illinois,2018,0,121.8,90.5,109.1,100.7
Illinois,Michigan State,2018,1,109.1,100.7,121.8,90.5
Niagara,Marist,2018,0,101.6,115.2,100.1,109.6
Marist,Niagara,2018,1,100.1,109.6,101.6,115.2
Minnesota,Michigan State,2018,0,110.7,96.3,121.8,90.5
Michigan State,Minnesota,2018,1,121.8,90.5,110.7,96.3
California,Oregon State,2018,0,103,110.2,111.2,103.3
Oregon State,California,2018,1,111.2,103.3,103,110.2
Oakland,Northern Ky.,2018,0,107.4,109.5,109.4,102.7
Northern Ky.,Oakland,2018,1,109.4,102.7,107.4,109.5
Niagara,Iona,2018,0,101.6,115.2,106.5,109.7
Iona,Niagara,2018,1,106.5,109.7,101.6,115.2
Arkansas,Missouri,2018,0,110.3,97.3,106.8,97
Missouri,Arkansas,2018,1,106.8,97,110.3,97.3
USC,Stanford,2018,0,109.3,101.6,103.4,98.2
Stanford,USC,2018,1,103.4,98.2,109.3,101.6
Army,Navy,2018,0,96.2,103,97.2,107.1
Navy,Army,2018,1,97.2,107.1,96.2,103
Memphis,UCF,2018,0,109,97.7,110.5,95.8
UCF,Memphis,2018,1,110.5,95.8,109,97.7
Ole Miss,South Carolina,2018,0,112.9,97.7,108,98.3
South Carolina,Ole Miss,2018,1,108,98.3,112.9,97.7
Arkansas,Auburn,2018,0,110.3,97.3,119.7,96.3
Auburn,Arkansas,2018,1,119.7,96.3,110.3,97.3
Butler,Marquette,2018,0,110.8,101.1,114.1,95.9
Marquette,Butler,2018,1,114.1,95.9,110.8,101.1
Columbia,Princeton,2018,0,101.8,106.3,98.7,99.7
Princeton,Columbia,2018,1,98.7,99.7,101.8,106.3
UMKC,Utah Valley,2018,0,101,107.2,108.9,102.1
Utah Valley,UMKC,2018,1,108.9,102.1,101,107.2
Green Bay,IUPUI,2018,0,103,106.5,103.4,105.8
IUPUI,Green Bay,2018,1,103.4,105.8,103,106.5
Holy Cross,Colgate,2018,0,101,107.8,110.1,105.8
Colgate,Holy Cross,2018,1,110.1,105.8,101,107.8
Davidson,La Salle,2018,0,108,100.2,99.9,105.1
La Salle,Davidson,2018,1,99.9,105.1,108,100.2
Arizona State,Oregon,2018,0,109.9,98.6,107.8,92.6
Oregon,Arizona State,2018,1,107.8,92.6,109.9,98.6
Villanova,Seton Hall,2018,0,116.9,98.4,109.3,96.6
Seton Hall,Villanova,2018,1,109.3,96.6,116.9,98.4
Duke,UNC,2018,0,120.1,88.2,119.9,90.8
UNC,Duke,2018,1,119.9,90.8,120.1,88.2
North Florida,Dayton,2018,0,103.8,104.6,111.9,100.6
